model,threshold,accuracy,macro_f1,weighted_f1,avoid_precision,avoid_recall,avoid_f1,caution_precision,caution_recall,caution_f1,no_known_precision,no_known_recall,no_known_f1,false_safe_count,risky_true_count,false_safe_rate,avoid_false_safe_rate,caution_false_safe_rate
Calibrated TFIDF + LinearSVC Balanced Original [VAL],,0.9227581009796534,0.7571594429192391,0.9220366752343705,0.8611111111111112,0.5740740740740741,0.6888888888888889,0.9537815126050421,0.959830866807611,0.9567966280295047,0.6218487394957983,0.6297872340425532,0.6257928118393234,90,2419,0.037205456800330716,0.0,0.03805496828752643
Calibrated TFIDF + LinearSVC Balanced Original [TEST],,0.915222305953278,0.7172628336351687,0.913429007290375,0.8666666666666667,0.48148148148148145,0.6190476190476191,0.9477643125783536,0.958985200845666,0.9533417402269861,0.5844155844155844,0.574468085106383,0.5793991416309013,96,2419,0.03968582058701943,0.018518518518518517,0.040169133192389
Calibrated LinearSVC SafetyGate threshold=0.5 [VAL],0.5,0.9223813112283346,0.7561217574041933,0.9215992307554394,0.8611111111111112,0.5740740740740741,0.6888888888888889,0.9533809323813524,0.959830866807611,0.9565950273914876,0.620253164556962,0.625531914893617,0.6228813559322034,90,2419,0.037205456800330716,0.0,0.03805496828752643
Calibrated LinearSVC SafetyGate threshold=0.5 [TEST],0.5,0.9155990957045969,0.7171541642588117,0.913592306352133,0.8666666666666667,0.48148148148148145,0.6190476190476191,0.9474123539232053,0.959830866807611,0.9535811804242806,0.5877192982456141,0.5702127659574469,0.5788336933045356,94,2419,0.03885903265812319,0.018518518518518517,0.03932346723044398
Calibrated LinearSVC SafetyGate threshold=0.6 [VAL],0.6,0.9269027882441597,0.7402960686241725,0.9199951184853417,0.8611111111111112,0.5740740740740741,0.6888888888888889,0.9403651115618661,0.9801268498942918,0.9598343685300207,0.7254901960784313,0.4723404255319149,0.5721649484536082,42,2419,0.017362546506821,0.0,0.017758985200845664
Calibrated LinearSVC SafetyGate threshold=0.6 [TEST],0.6,0.9167294649585531,0.6859962203285873,0.9065105404378135,0.8666666666666667,0.48148148148148145,0.6190476190476191,0.9316445516686771,0.9797040169133192,0.9550700741962077,0.656934306569343,0.3829787234042553,0.4838709677419355,47,2419,0.019429516329061595,0.018518518518518517,0.01945031712473573
Calibrated LinearSVC SafetyGate threshold=0.7 [VAL],0.7,0.920120572720422,0.6747317817614444,0.900246353967325,0.8611111111111112,0.5740740740740741,0.6888888888888889,0.9210011732499023,0.9957716701902748,0.9569280780170663,0.9180327868852459,0.23829787234042554,0.3783783783783784,5,2419,0.002066969822240595,0.0,0.0021141649048625794
Calibrated LinearSVC SafetyGate threshold=0.7 [TEST],0.7,0.9099472494348154,0.6156927712915021,0.885506766314095,0.8666666666666667,0.48148148148148145,0.6190476190476191,0.9143635655897236,0.9932346723044397,0.9521686258613701,0.7272727272727273,0.1702127659574468,0.27586206896551724,15,2419,0.0062009094667217855,0.018518518518518517,0.005919661733615222
Calibrated LinearSVC SafetyGate threshold=0.75 [VAL],0.75,0.913715146948003,0.6406977067656714,0.8885622216701109,0.8611111111111112,0.5740740740740741,0.6888888888888889,0.914918414918415,0.9957716701902748,0.953634338935007,0.8863636363636364,0.16595744680851063,0.27956989247311825,5,2419,0.002066969822240595,0.0,0.0021141649048625794
Calibrated LinearSVC SafetyGate threshold=0.75 [TEST],0.75,0.9069329314242652,0.5932932309685324,0.878367645233804,0.8666666666666667,0.48148148148148145,0.6190476190476191,0.9105691056910569,0.9945031712473573,0.9506871463217461,0.7073170731707317,0.12340425531914893,0.21014492753623187,12,2419,0.004960727573377429,0.018518518518518517,0.004651162790697674
Calibrated LinearSVC SafetyGate threshold=0.8 [VAL],0.8,0.9080633006782216,0.6071513139740835,0.8773336937268925,0.8611111111111112,0.5740740740740741,0.6888888888888889,0.9096176129779838,0.9957716701902748,0.9507468712151796,0.8275862068965517,0.10212765957446808,0.18181818181818182,5,2419,0.002066969822240595,0.0,0.0021141649048625794
Calibrated LinearSVC SafetyGate threshold=0.8 [TEST],0.8,0.9024114544084401,0.5654075315365638,0.8691142452203056,0.8666666666666667,0.48148148148148145,0.6190476190476191,0.9063583815028902,0.9945031712473573,0.9483870967741935,0.5862068965517241,0.07234042553191489,0.12878787878787878,12,2419,0.004960727573377429,0.018518518518518517,0.004651162790697674
Calibrated LinearSVC SafetyGate threshold=0.85 [VAL],0.85,0.9031650339110776,0.5749322658066182,0.8667780620136023,0.8611111111111112,0.5740740740740741,0.6888888888888889,0.9050730207532667,0.9957716701902748,0.9482585061405275,0.6875,0.04680851063829787,0.08764940239043825,5,2419,0.002066969822240595,0.0,0.0021141649048625794
Calibrated LinearSVC SafetyGate threshold=0.85 [TEST],0.85,0.89939713639789,0.5354385124377864,0.8599962702912031,0.8666666666666667,0.48148148148148145,0.6190476190476191,0.9023362696284948,0.9961945031712474,0.9469453376205788,0.38461538461538464,0.02127659574468085,0.04032258064516129,8,2419,0.0033071517155849523,0.018518518518518517,0.002959830866807611
Calibrated LinearSVC SafetyGate threshold=0.9 [VAL],0.9,0.9027882441597589,0.5673463173355252,0.8646432983826208,0.8611111111111112,0.5740740740740741,0.6888888888888889,0.9041043344840813,0.9966173361522199,0.9481094127111827,0.7272727272727273,0.03404255319148936,0.06504065040650407,3,2419,0.0012401818933443572,0.0,0.0012684989429175475
Calibrated LinearSVC SafetyGate threshold=0.9 [TEST],0.9,0.8997739261492087,0.5276218930968732,0.858140763680419,0.8666666666666667,0.48148148148148145,0.6190476190476191,0.9014514896867838,0.9978858350951374,0.9472205498695565,0.3333333333333333,0.00851063829787234,0.016597510373443983,4,2419,0.0016535758577924762,0.018518518518518517,0.0012684989429175475
Calibrated LinearSVC SafetyGate threshold=0.95 [VAL],0.95,0.9016578749058025,0.5538577755692146,0.860635226862877,0.8611111111111112,0.5740740740740741,0.6888888888888889,0.9024483550114767,0.9974630021141649,0.9475798353082948,0.75,0.01276595744680851,0.02510460251046025,1,2419,0.00041339396444811904,0.0,0.00042283298097251583
Calibrated LinearSVC SafetyGate threshold=0.95 [TEST],0.95,0.8997739261492087,0.527581594435527,0.8579775301058842,0.8666666666666667,0.48148148148148145,0.6190476190476191,0.9011072928598702,0.9978858350951374,0.9470304975922953,0.4,0.00851063829787234,0.016666666666666666,3,2419,0.0012401818933443572,0.0,0.0012684989429175475
