model,accuracy,macro_f1,weighted_f1,avoid_precision,avoid_recall,avoid_f1,caution_precision,caution_recall,caution_f1,no_known_precision,no_known_recall,no_known_f1,false_safe_count,risky_true_count,false_safe_rate,avoid_false_safe_rate,caution_false_safe_rate,threshold
TFIDF + Logistic Regression Original [VAL],0.9212509419743783,0.7342621131353241,0.9190812285980536,0.8709677419354839,0.5,0.6352941176470588,0.9491666666666667,0.9632135306553912,0.9561385099685205,0.6278026905829597,0.5957446808510638,0.611353711790393,83,2419,0.03431169904919388,0.0,0.03509513742071882,
TFIDF + Logistic Regression Original [TEST],0.9110776186887717,0.6903092235158965,0.9074980956677375,0.9565217391304348,0.4074074074074074,0.5714285714285714,0.9411764705882353,0.960676532769556,0.9508265327474367,0.5714285714285714,0.5276595744680851,0.5486725663716814,93,2419,0.03844563869367507,0.018518518518518517,0.03890063424947146,
TFIDF + Logistic Regression SafetyGate threshold=0.5 [VAL],0.9204973624717407,0.7320982121885001,0.9181844699620444,0.8709677419354839,0.5,0.6352941176470588,0.948376353039134,0.9632135306553912,0.9557373610237047,0.6244343891402715,0.5872340425531914,0.6052631578947368,83,2419,0.03431169904919388,0.0,0.03509513742071882,0.5
TFIDF + Logistic Regression SafetyGate threshold=0.6 [VAL],0.9197437829691032,0.6980573756924744,0.9094697447342142,0.8709677419354839,0.5,0.6352941176470588,0.9317817014446228,0.9818181818181818,0.9561457689932057,0.7022900763358778,0.39148936170212767,0.5027322404371585,39,2419,0.016122364613476645,0.0,0.01649048625792812,0.6
TFIDF + Logistic Regression SafetyGate threshold=0.7 [VAL],0.9118311981914092,0.6201218180838121,0.8859775959528461,0.8709677419354839,0.5,0.6352941176470588,0.9131446297014346,0.9957716701902748,0.9526699029126213,0.8636363636363636,0.16170212765957448,0.2724014336917563,6,2419,0.0024803637866887144,0.0,0.002536997885835095,0.7
TFIDF + Logistic Regression SafetyGate threshold=0.8 [VAL],0.9046721929163527,0.5723901462890371,0.8704042038577111,0.8709677419354839,0.5,0.6352941176470588,0.9058416602613374,0.9966173361522199,0.9490638212200524,0.8095238095238095,0.07234042553191489,0.1328125,4,2419,0.0016535758577924762,0.0,0.0016913319238900633,0.8
TFIDF + Logistic Regression SafetyGate threshold=0.9 [VAL],0.9009042954031651,0.5412719297517895,0.8606417131804727,0.8709677419354839,0.5,0.6352941176470588,0.9017584097859327,0.9974630021141649,0.9471993575587232,0.7142857142857143,0.02127659574468085,0.04132231404958678,2,2419,0.0008267879288962381,0.0,0.0008456659619450317,0.9
TFIDF + Logistic Regression SafetyGate BEST threshold=0.9 [TEST],0.8990203466465713,0.5142058073863593,0.8570797773894641,0.9565217391304348,0.4074074074074074,0.5714285714285714,0.8994285714285715,0.99830866807611,0.9462925851703406,0.5,0.01276595744680851,0.024896265560165973,3,2419,0.0012401818933443572,0.0,0.0012684989429175475,0.9
TFIDF + Logistic Regression Balanced Original [VAL],0.9039186134137152,0.7550493881763232,0.9145640487583602,0.5232558139534884,0.8333333333333334,0.6428571428571429,0.989800649049606,0.9027484143763214,0.9442724458204335,0.5328467153284672,0.9319148936170213,0.6780185758513931,192,2419,0.07937164117403886,0.0,0.08118393234672304,
TFIDF + Logistic Regression Balanced Original [TEST],0.9012810851544838,0.7237200195790504,0.9120699091610259,0.4375,0.7777777777777778,0.56,0.9857471264367816,0.906553911205074,0.9444933920704845,0.5378590078328982,0.8765957446808511,0.6666666666666666,177,2419,0.07317073170731707,0.018518518518518517,0.07441860465116279,
TFIDF + Logistic Regression Balanced SafetyGate threshold=0.5 [VAL],0.9065561416729465,0.757747864268027,0.916609589492778,0.5232558139534884,0.8333333333333334,0.6428571428571429,0.9893813481071099,0.9061310782241014,0.945928051202825,0.5422885572139303,0.9276595744680851,0.6844583987441131,184,2419,0.07606448945845391,0.0,0.07780126849894292,0.5
TFIDF + Logistic Regression Balanced SafetyGate threshold=0.6 [VAL],0.9114544084400904,0.7609231411862991,0.9200170499723309,0.5232558139534884,0.8333333333333334,0.6428571428571429,0.985876993166287,0.9150105708245243,0.9491228070175438,0.5630026809651475,0.8936170212765957,0.6907894736842105,163,2419,0.06738321620504341,0.0,0.06892177589852008,0.6
TFIDF + Logistic Regression Balanced SafetyGate threshold=0.7 [VAL],0.9144687264506406,0.7587204840304199,0.9211997498355587,0.5232558139534884,0.8333333333333334,0.6428571428571429,0.9785426911041574,0.9255813953488372,0.9513255106475446,0.5830815709969789,0.8212765957446808,0.6819787985865724,138,2419,0.05704836709384043,0.0,0.05835095137420719,0.7
TFIDF + Logistic Regression Balanced SafetyGate threshold=0.8 [VAL],0.9182366239638282,0.7532240645448193,0.9219797519800363,0.5232558139534884,0.8333333333333334,0.6428571428571429,0.9678120922140061,0.9408033826638478,0.9541166380789022,0.620817843866171,0.7106382978723405,0.6626984126984127,102,2419,0.04216618437370814,0.0,0.04312896405919662,0.8
TFIDF + Logistic Regression Balanced SafetyGate threshold=0.9 [VAL],0.9027882441597589,0.6975410379205446,0.9008640391275747,0.5232558139534884,0.8333333333333334,0.6428571428571429,0.943650126156434,0.9488372093023256,0.946236559139785,0.5631578947368421,0.4553191489361702,0.5035294117647059,83,2419,0.03431169904919388,0.0,0.03509513742071882,0.9
TFIDF + Logistic Regression Balanced SafetyGate BEST threshold=0.9 [TEST],0.8926149208741522,0.6518105001525116,0.8909436235356792,0.4375,0.7777777777777778,0.56,0.9401853411962932,0.9437632135306554,0.9419708799324752,0.5163043478260869,0.40425531914893614,0.45346062052505964,89,2419,0.03679206283588259,0.018518518518518517,0.037209302325581395,0.9
